fileName,indexFile,indexDR,classNum,scoreA,scoreM,scoreDes,DSC,CAL,HM,LDA,WII,SIL,GAM,ABW,CS,HDM 10,ABTN,HDM 5,CDM 4,CDM 3,DC 10%,CDM 5,CDM 2,CDM 6,CDM 7,DC 5%,CDM 8,CDM 10,CDM 9,HDM 20,HDM 40,DC 20%,HDM 80,DC 2%,DUNN,DC 1%,DC 0.5%,CDM 1,DC 0.2%,DC 0.1%,AWTN
Entangled1-3d-3cl-separate_PCA_data.csv,1,1,1,5,4,1,83.946488,168.392790,85.211464,0.233286,0.320842,0.244208,0.320500,1.307991,0.910946,79.906761,432.673057,69.981072,64.569393,71.133008,73.031195,62.124266,77.748259,59.646902,58.323140,81.694395,57.514080,56.200515,56.633429,87.969911,93.874354,56.800376,99.775785,93.433032,0.003952,98.920474,99.934515,88.151433,100.000000,100.000000,330.792098
Entangled1-3d-3cl-separate_PCA_data.csv,1,1,2,5,4,1,81.438127,202.032855,83.724674,0.574045,0.305026,0.249141,0.339768,1.333924,0.774196,75.904697,436.826178,65.752417,62.696757,74.518372,69.564742,58.359921,86.257197,54.783017,52.229778,78.450968,49.627548,45.625962,47.476585,85.437463,93.200576,54.498185,99.439462,92.019047,0.003344,98.654829,99.904137,81.307295,99.999407,100.000000,327.474607
Entangled1-3d-3cl-separate_PCA_data.csv,1,1,3,5,4,1,83.612040,179.412919,85.662520,0.915691,0.313059,0.249217,0.339577,1.331933,0.904530,81.196308,436.369860,70.522430,62.397162,68.968087,72.249472,59.616466,76.683712,58.202873,56.438867,81.277076,55.856681,55.309937,55.495395,87.698247,94.774921,55.902111,99.663677,93.679104,0.003371,99.009648,99.932368,88.336925,99.999407,100.000000,327.621398
Entangled1-3d-3cl-separate_RobPCA_data.csv,1,2,1,5,4,1,83.919598,181.354553,84.760740,0.095612,0.312085,0.250118,0.334770,1.324574,0.801723,77.244476,430.096586,70.836311,60.564565,64.739857,72.545917,57.242387,73.545304,55.160456,54.244828,80.840862,53.400617,52.552589,52.755896,84.965224,93.059037,57.095953,98.191443,93.611821,0.002583,99.128890,99.879285,82.383557,99.997036,100.000000,324.705526
Entangled1-3d-3cl-separate_RobPCA_data.csv,1,2,2,5,4,1,81.407035,192.947084,83.722177,0.704854,0.309980,0.246604,0.332735,1.324828,0.890831,75.415086,429.725772,67.843686,58.696877,67.392353,70.508866,55.961418,84.621615,52.927679,50.630151,79.139435,48.907806,46.059895,48.234086,81.983090,90.676587,55.212948,98.654709,92.693371,0.002513,99.029505,99.894526,85.241735,99.997332,100.000000,324.363518
Entangled1-3d-3cl-separate_RobPCA_data.csv,1,2,3,5,4,1,84.422111,176.019333,86.174855,0.840500,0.314805,0.248457,0.337519,1.327966,0.809306,79.278967,430.218170,72.646742,65.087657,71.371011,72.854891,61.779808,77.847047,60.001613,58.607960,81.788118,57.397686,56.354807,56.718964,86.099122,94.401166,56.561410,98.864088,94.517332,0.004513,99.359884,99.943868,88.443470,99.999704,100.000000,323.967823
Entangled1-3d-3cl-separate_GlimmerMDS.csv,1,3,1,5,5,1,87.333333,235.681153,92.544233,0.933255,0.273192,0.289278,0.397594,1.391772,0.982500,93.861115,400.080563,82.989972,56.217830,62.008175,85.290209,53.946983,80.404928,51.504889,49.649314,94.739888,49.466497,46.002406,47.286501,97.845458,98.992725,63.031544,99.664992,99.373985,0.005001,99.907081,99.981354,85.323899,99.999704,100.000000,287.461311
Entangled1-3d-3cl-separate_GlimmerMDS.csv,1,3,2,5,5,1,86.166667,204.094193,92.883496,1.044002,0.296297,0.268973,0.359446,1.345562,0.825524,96.085721,393.683292,87.395938,63.775602,66.484670,85.307359,62.391099,78.037008,61.263417,59.338098,95.897211,58.370898,56.658921,57.777626,98.731457,99.664242,61.585038,99.664992,99.625509,0.004561,99.949089,99.987472,88.557446,99.999704,100.000000,292.579127
Entangled1-3d-3cl-separate_GlimmerMDS.csv,1,3,3,5,5,1,88.000000,222.655179,92.331792,0.202384,0.281709,0.282633,0.390592,1.384013,0.980694,93.802482,399.022060,87.812026,62.998606,64.842432,84.432312,61.700018,77.430729,60.286484,58.928529,94.677830,57.700762,55.977008,56.904619,97.507620,99.328483,61.490874,100.000000,99.512361,0.007121,99.957992,99.993882,87.351001,100.000000,100.000000,288.308113
Entangled1-3d-3cl-separate_TSNE.csv,1,4,1,5,5,1,85.618729,112.244306,98.883651,0.591512,0.319794,0.248440,0.226655,1.214412,1.000000,100.000000,488.305820,100.000000,85.735628,88.993796,99.763769,81.375083,93.968333,78.342581,75.427481,100.000000,74.008643,71.563092,72.759513,100.000000,100.000000,77.749776,100.000000,100.000000,0.172776,100.000000,100.000000,94.213255,100.000000,100.000000,402.092506
