[local] 5 -7 77.474 (best c=32.0, g=0.0078125, rate=77.474)
[local] -1 -7 66.2109 (best c=32.0, g=0.0078125, rate=77.474)
[local] 5 -1 80.9896 (best c=32.0, g=0.5, rate=80.9896)
[local] -1 -1 71.9401 (best c=32.0, g=0.5, rate=80.9896)
[local] 11 -7 85.4818 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -1 81.9661 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 -13 66.6667 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 -13 43.5547 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -13 72.2656 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -7 57.7474 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -1 50.651 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -13 42.8385 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 1 80.1432 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 1 74.349 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 1 80.1432 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 1 55.0781 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -7 84.9609 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -1 81.9661 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -13 69.2057 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 1 80.1432 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 -11 67.9688 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 -11 57.9427 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -11 77.474 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -3 -11 44.7917 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 9 -11 73.0469 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -7 73.3073 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -1 80.0781 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -13 66.3411 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 1 79.6875 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 3 -11 66.4714 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 5 -5 82.6172 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] -1 -5 69.0104 (best c=2048.0, g=0.0078125, rate=85.4818)
[local] 11 -5 86.5885 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -3 -5 54.8177 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 9 -5 85.9375 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 3 -5 78.0599 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 -7 85.6771 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 -1 81.9661 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 -13 80.3385 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 1 80.1432 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 -11 82.6172 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 -5 86.3932 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 5 -15 66.0156 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -1 -15 42.3828 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 11 -15 68.2943 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -3 -15 42.3828 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 9 -15 66.9271 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 3 -15 59.7005 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 -15 76.1719 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -5 -7 50.0651 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -5 -1 48.3073 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -5 -13 42.8385 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -5 1 51.237 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -5 -11 44.3359 (best c=2048.0, g=0.03125, rate=86.5885)
